"n","B","j","proj_lambda","psi_proj","se_proj_np","lower_proj_np","upper_proj_np","s0","s0.1","s0.2","lambda.min","lambda.min.1","lambda.min.2","se_proj_delta","lower_proj_delta","upper_proj_delta"
500,9,1,0.0383936073855812,1.8984608333732,0.157564318710399,1.58963476870082,2.20728689804558,0.0931062318560677,1.71597261893531,2.08094904781109,0.0930105592355512,1.71616013727152,2.08076152947488,0.0875472639488696,1.72686819603342,2.07005347071299
500,9,2,0.0252604299134321,1.85285979201163,0.158238223972692,1.54271287302516,2.16300671099811,0.11451974042328,1.62840110078201,2.07731848324126,0.107522827520307,1.64211505007183,2.06360453395144,0.10432052020797,1.64839157240401,2.05732801161926
500,10,1,0.0377857119380303,1.68257612909838,0.39042222963488,0.917348559014015,2.44780369918274,0.272750265906896,1.14798560792086,2.2171666502759,0.227592187750354,1.23649544110769,2.12865681708907,0.083780536025636,1.51836627848813,1.84678597970863
500,10,2,0.0260442255475539,1.65664193344983,0.3975811271219,0.877382924290911,2.43590094260876,0.279919651725109,1.10799941606862,2.20528445083105,0.213466551936958,1.2382474916534,2.07503637524627,0.0846249564165633,1.49077701887337,1.8225068480263
500,11,1,0.0398457385744091,1.45133227592079,0.268929957741032,0.924229558748372,1.97843499309322,0.173245488269798,1.11177111891199,1.7908934329296,0.164070624775836,1.12975385136016,1.77291070048143,0.126312527728215,1.20375972157349,1.69890483026809
500,11,2,0.0262158352691234,1.25074516737853,0.342632516178701,0.579185435668273,1.92230489908878,0.286807305329304,0.688602848933091,1.81288748582396,0.185125631405378,0.887898929823986,1.61359140493307,0.117473153212462,1.0204977870821,1.48099254767495
500,12,1,0.0565609602844188,1.74579296822009,0.26311705529098,1.23008353984976,2.2615023965904,0.1353064583782,1.48059230979881,2.01099362664136,0.114902143546268,1.5205847668694,1.97100116957077,0.0854088383852707,1.57839164498495,1.91319429145522
500,12,2,0.0372133349896563,1.76286192865536,0.265810340425899,1.2418736614206,2.28385019589012,0.140295112926627,1.48788350731917,2.03784034999155,0.104785665577549,1.55748202412336,1.96824183318735,0.0941211485480185,1.57838447750124,1.94733937980947
500,13,1,0.0427893030225353,1.4805454702018,0.448861583455138,0.600776766629728,2.36031417377387,0.275429218831547,0.940704201291965,2.02038673911163,0.192787008778706,1.10268293299553,1.85840800740806,0.0774391838510026,1.32876466985383,1.63232627054976
500,13,2,0.0281525041184665,1.46497102566957,0.4429328958019,0.59682254989785,2.3331195014413,0.274552683119072,0.926847766756194,2.00309428458295,0.165855310476995,1.13989461713466,1.79004743420448,0.0800964650236157,1.30798195422329,1.62196009711586
500,14,1,0.0278577168501793,1.70243077861148,0.316903375150688,1.08130016331613,2.32356139390683,0.205001920459059,1.30062701451173,2.10423454271124,0.0491176205918054,1.60616024225155,1.79870131497142,0.513153806155084,0.696649318547519,2.70821223867545
500,15,1,0.0374780911508956,1.75923601381091,0.174664157848987,1.41689426442689,2.10157776319492,0.121311976947626,1.52146453899356,1.99700748862825,0.106237047119744,1.55101140145621,1.96746062616561,0.114035390405783,1.53572664861557,1.98274537900624
500,15,2,0.024658081364919,1.76267312168543,0.1746235387583,1.42041098571916,2.1049352576517,0.12292702400549,1.52173615463467,2.00361008873619,0.0836206933843465,1.59877656265211,1.92656968071875,0.117708111168201,1.53196522379576,1.99338101957511
500,16,1,0.0424626627480678,1.76947997422674,0.160248473084551,1.45539296698102,2.08356698147246,0.109878181558483,1.55411873837211,1.98484121008137,0.100652663900592,1.57220075298158,1.9667591954719,0.0926091714216234,1.58796599824036,1.95099395021312
500,16,2,0.027937596629383,1.7616089108632,0.1600383328029,1.44793377856951,2.07528404315688,0.109962463567327,1.54608248227124,1.97713533945516,0.105580275953366,1.5546715699946,1.9685462517318,0.0934981099366464,1.57835261538737,1.94486520633903
500,17,1,0.0367980417908123,1.84107855299402,0.607644774730245,0.650094794522741,3.0320623114653,0.374589128990281,1.10688386017307,2.57527324581497,0.256799662815286,1.33775121387606,2.34440589211198,0.0994085013564088,1.64623789033546,2.03591921565258
500,17,2,0.0253634628263719,1.86194093976861,0.608076822333237,0.670110367995467,3.05377151154176,0.379382985775084,1.11835028764945,2.60553159188777,0.257290004637031,1.35765253068003,2.36622934885719,0.102364244363132,1.66130702081687,2.06257485872035
500,18,1,0.0496041759588213,2.15548062301708,0.217573616069056,1.72903633552174,2.58192491051243,0.135468625459374,1.88996211711671,2.42099912891746,0.126899767655139,1.90675707841301,2.40420416762116,0.09706119885279,1.96524067326562,2.34572057276855
500,18,2,0.0326362354450687,2.17352161885811,0.21467219279811,1.75276412097382,2.59427911674241,0.133971391184658,1.91093769213618,2.43610554558004,0.104449799446464,1.96880001194304,2.37824322577318,0.0986323985604895,1.98020211767955,2.36684112003667
500,19,1,0.0435721427545583,1.77381437581559,0.181139088419684,1.41878176251301,2.12884698911817,0.131538853096077,1.51599822374728,2.0316305278839,0.124495859539785,1.52980249111761,2.01782626051357,0.10581114475021,1.56642453210518,1.981204219526
500,19,2,0.0286675603877464,1.6637528245093,0.172347120739974,1.32595246785896,2.00155318115965,0.132247181153937,1.40454834944759,1.92295729957102,0.126188653109475,1.41642306441473,1.91108258460388,0.108008709920403,1.45205575306531,1.8754498959533
500,20,1,0.052900602759558,1.63109208810814,0.188945811369391,1.26075829782414,2.00142587839215,0.157117521745533,1.3231417454869,1.93904243072939,0.154328971958249,1.32860730306998,1.93357687314631,0.115275835922199,1.40515144970063,1.85703272651565
500,20,2,0.0348050641599251,1.57828742107847,0.198049127871772,1.1901111304498,1.96646371170714,0.164806008719482,1.25526764398829,1.90130719816866,0.162490615688218,1.25980581432956,1.89676902782738,0.115829670159096,1.35126126756664,1.8053135745903
500,21,1,0.0700596416237821,1.47196958321401,0.206974669866561,1.06629923027555,1.87763993615247,0.126266528846409,1.22448718667504,1.71945197975297,0.119422987035758,1.23790052862392,1.70603863780409,0.0897692668944611,1.29602182010086,1.64791734632715
500,21,2,0.0460945659318886,1.46920590181657,0.206180784197765,1.06509156478895,1.87332023884419,0.127770449302114,1.21877582118443,1.71963598244872,0.0980566100047791,1.27701494620721,1.66139685742594,0.091128171240226,1.29059468618573,1.64781711744742
500,22,1,0.0654370903296424,1.6754439482722,0.307606192155899,1.07253581164664,2.27835208489776,0.164127886815612,1.3537532901136,1.9971346064308,0.140565502181243,1.39993556399696,1.95095233254743,0.0969266674052856,1.48546768015784,1.86542021638656
500,22,2,0.0430532358527902,1.6672688839625,0.305765065066834,1.0679693564315,2.26656841149349,0.165394903227115,1.34309487363735,1.99144289428764,0.145115760750529,1.38284199289146,1.95169577503353,0.0982180953482659,1.47476141707989,1.8597763508451
500,23,1,0.0484561621068234,1.85807228032659,0.161317294350344,1.54189038339991,2.17425417725326,0.115182994218948,1.63231361165745,2.08383094899572,0.111898447702456,1.63875132282977,2.0773932378234,0.0915537816793762,1.67862686823501,2.03751769241816
500,23,2,0.0318809189894722,1.85926039582947,0.161253290373479,1.54320394669745,2.17531684496149,0.115667761199133,1.63255158387917,2.08596920777977,0.113335899425015,1.63712203295644,2.0813987587025,0.0915693775119535,1.67978441590604,2.0387363757529
500,24,1,0.031736672685706,1.95925472734051,0.12484540732044,1.71455772899244,2.20395172568857,0.0915813408564451,1.77975529926187,2.13875415541914,0.0884229817400752,1.78594568312996,2.13256377155105,0.130295987947594,1.70387459096322,2.21463486371779
500,24,2,0.0251507703540779,1.95224775651148,0.12481784719823,1.70760477600294,2.19689073702001,0.0923297955652699,1.77128135720355,2.1332141558194,0.0796222109873518,1.79618822297627,2.10830729004668,0.132050652170525,1.69342847825725,2.2110670347657
