"n","B","j","delta_lambda","kappa_IM","psi_delta","se_delta","lower_delta","upper_delta"
500,168,1,0.0258747021838002,8442049.38815829,1.41220846739015,0.112722844289013,1.19127169258369,1.63314524219662
500,169,1,0.0429282493489514,1.36899948886469e+23,1.7992522589172,0.09475802513725,1.61352652964819,1.98497798818621
500,170,1,0.0398811056917242,169480836.044035,1.92013228057889,0.0897171878412628,1.74428659241001,2.09597796874776
500,171,1,0.0247766388266549,27150896.4465942,1.45755023698464,0.111471764414444,1.23906557873233,1.67603489523695
500,172,1,0.117614233800326,63689.4494781683,1.65038325912262,0.0842016459027573,1.48534803315321,1.81541848509202
500,173,1,0.0329652080091439,22580050.088363,1.63137666413061,0.12421595302216,1.38791339620718,1.87483993205404
500,174,1,0.0460459188671759,16886596.8311868,1.52660500163415,0.126656697027417,1.27835787546041,1.77485212780789
500,175,1,0.0634447894950557,7573617.37217141,1.66522643182611,0.0999700703038838,1.4692850940305,1.86116776962172
500,176,1,0.0539792491447203,5099045868.07883,1.69086086857094,0.0968474066086789,1.50103995161793,1.88068178552395
500,177,1,0.0750967192261443,5.0561381607057e+19,1.37986207444868,0.132625880280726,1.11991534909846,1.63980879979891
500,178,1,0.025001546033816,42667362.4546943,1.66654530164116,0.154600945236372,1.36352744897788,1.96956315430445
500,179,1,0.071020571347322,4.20388666508874e+22,1.49295440221229,0.0781086021640463,1.33986154197076,1.64604726245382
500,180,1,0.0278628559426111,36943042.8361618,1.48310303124896,0.0902155420835425,1.30628056876522,1.6599254937327
500,181,1,0.0273271122044376,30266956.6828227,1.66656181570293,0.0918846833308708,1.48646783637443,1.84665579503144
500,182,1,0.0464631283007878,5065578.99757267,1.55609816146907,0.0873112323260921,1.38496814610993,1.72722817682821
500,183,1,0.039014064233508,5376856959.13665,1.5197544187055,0.0937427708379336,1.33601858786315,1.70349024954785
500,184,1,0.0301091394189712,1.88408157129246e+23,1.45836968302927,0.0800591866102924,1.3014536772731,1.61528568878545
500,185,1,0.0285627155987603,125593143.705831,1.69890746475702,0.0867392563261652,1.52889852235774,1.86891640715631
500,186,1,0.0722936824707261,144956.932925945,1.56886587049755,0.0799047166470421,1.41225262586934,1.72547911512575
500,187,1,0.0477827460951305,1.93436618182223e+23,1.52944463436488,0.110270222964167,1.31331499735512,1.74557427137465
